ID,hamming_cluster
20030504031520,1
20060403062451,6
20181211181552,1
20070605070799,5
20150807150097,2
20120404122029,6
20071210071992,1
20121110121658,1
20130504131815,1
20150604150783,6
20060112052343,6
20120403121651,2
20111110111799,2
20050807051926,1
20181109182202,2
20100403100775,5
20160403162264,1
20170908172175,6
20030706032540,5
20070706072342,2
20101009100505,1
20140201141375,2
20030908032693,3
20050111040555,1
20140302141234,6
20121008121652,2
20080403081438,5
20040605041708,2
20050201051495,5
20031009033356,6
20101008101410,3
20171210171660,3
20180606182135,1
20050201051576,6
20170302170577,2
20070302071352,1
20040605041793,2
20060605061760,5
20140807141452,5
20110201112498,2
20031009031300,1
20050503050678,1
20120101121081,1
20111110111698,6
20061110062287,1
20070605071518,1
20170706170796,6
20051211051076,2
20050302052057,2
20040605041243,2
20130301132364,2
20110706111065,2
20160403160841,5
20151110151057,5
20090201091297,5
20070111061204,2
20051212050793,6
20160403162284,6
20150705151426,5
20130909131453,1
20040504041309,2
20130908131865,3
20140201141151,1
20140807140036,4
20060201062365,1
20090201090570,3
20090807090958,5
20181211181220,2
20051211051623,5
20030706032023,2
20031009030970,1
20170605170710,5
20161110161787,5
20120212111523,5
20040705042148,2
20070808070569,5
20100302101863,5
20110403110770,2
20150605152413,6
20140606142491,5
20181110181384,2
20151210151255,2
20030606032339,5
20150112141035,1
20050503052327,6
20160201161929,6
20090605090061,2
20071010072486,5
20150504151905,5
20060302060771,2
20110908110515,5
20100101100050,5
20080201081948,2
20130504132029,6
20060908060137,2
20090604092027,5
20030301033472,2
20100202100556,3
20050605051160,1
20160705162104,1
20050212042527,5
20110907111898,6
20170403172228,6
20070605072048,5
20160706160715,1
20051211052455,5
20080302080503,2
20040908040860,3
20060907062533,3
20120402120849,3
20180909181999,4
20170909172333,1
20090302090523,1
20160212150906,2
20160201160889,1
20150403151602,3
20170605171808,6
20040604042411,5
20051109050665,6
20080707081751,2
20180605182442,4
20031110032979,3
20090606090912,5
20061010060875,5
20101110101654,5
20091211090844,6
20041009041778,6
20140112131243,6
20090706091039,1
20120807121976,6
20101210100583,2
20140706140621,2
20121110121697,5
20080403081860,1
20170201170814,6
20040302041616,2
20080403080965,1
