ID,osa_cluster
20050503050678,3
20120101121081,3
20111110111698,2
20061110062287,3
20070605071518,3
20170706170796,2
20051211051076,3
20050302052057,3
20040605041243,3
20130301132364,3
20110706111065,3
20160403160841,2
20151110151057,2
20090201091297,2
20070111061204,3
20051212050793,2
20160403162284,2
20150705151426,2
20130909131453,3
20040504041309,3
20130908131865,2
20140201141151,3
20140807140036,4
20060201062365,3
20090201090570,1
20090807090958,2
20181211181220,3
20051211051623,2
20030706032023,3
20031009030970,3
20170605170710,2
20161110161787,3
20120212111523,2
20040705042148,3
20070808070569,2
20100302101863,2
20110403110770,3
20150605152413,2
20140606142491,2
20181110181384,3
20151210151255,3
20030606032339,2
20150112141035,3
20050503052327,2
20160201161929,2
20090605090061,3
20071010072486,2
20150504151905,2
20060302060771,3
20110908110515,2
20100101100050,2
20080201081948,3
20130504132029,2
20060908060137,3
20090604092027,2
20030301033472,3
20100202100556,1
20050605051160,3
20160705162104,2
20050212042527,2
20110907111898,2
20170403172228,2
20070605072048,2
20160706160715,3
20051211052455,2
20080302080503,3
20040908040860,1
20060907062533,1
20120402120849,1
20180909181999,4
20170909172333,3
20090302090523,3
20160212150906,3
20160201160889,2
20150403151602,1
20170605171808,2
20040604042411,2
20051109050665,2
20080707081751,3
20180605182442,4
20031110032979,1
20090606090912,2
20061010060875,2
20101110101654,2
20091211090844,2
20041009041778,2
20140112131243,2
20090706091039,3
20120807121976,2
20101210100583,3
20140706140621,3
20121110121697,2
20080403081860,3
20170201170814,2
20040302041616,3
20080403080965,3
20120402121644,2
20090908092465,2
20070907072466,2
20030605032223,2
20110808110820,2
20121111120555,2
20171110170833,4
20140503140040,3
20041211041597,2
20170605170667,2
20180909182405,1
20040605041430,3
20090402091913,3
20080605081874,2
20181009182315,4
20180302180670,2
20041009040947,2
20030807032075,3
20150201150656,3
20040301041079,1
20110808111163,3
20181210182370,2
20150302152008,1
20180201181408,3
20121009120607,3
20150807150001,2
20080504081420,3
20170504170161,2
20080605080038,2
20130807131622,3
20170604171294,4
20150909151586,2
20081211081673,3
20081211081876,3
20070706071006,3
20030101033414,2
20180212171451,3
20090302091270,3
20151210151003,2
20051111050839,2
20110908112076,3
20030706033156,4
20101110101368,1
20150808151990,3
20130807131758,3
20050111041257,3
20090112080712,1
20170302171977,2
20110605111179,4
20141211141343,2
20180603180849,2
20111009112207,3
20070706072094,2
20040504041073,2
20141211141453,3
20091111090549,2
20070908071609,3
20150807151287,2
20031211031628,2
20040908042063,2
20110605110958,3
20030112022264,3
20100201100758,4
20120807122026,2
20090201091976,2
20140807141773,3
20140605142412,3
20170907172314,3
20041010041525,2
20061211060546,3
20170504170047,2
20131211131909,2
20130908132229,4
20170706172504,2
20070403072291,3
20130807132498,3
20050907052087,2
20121109122151,3
20150807151341,3
20170707170138,3
20100504100126,1
20080605081681,2
20080202081646,3
20090201092028,2
20180908181131,3
20160806160526,2
20121212121753,2
20161109162188,3
20130605130563,2
20130403131256,2
20090301091058,2
20151009151017,2
20040605041847,3
20070302071199,3
20130112121433,3
20091009090676,3
20150706151255,2
20160201161096,3
20130808130824,2
20100404101945,1
20071211070951,2
20180403182119,3
20161110161870,2
20110605110908,2
20031110032107,4
20060302062313,2
20140605141619,3
20181110180916,3
20161009161703,2
20041211042087,3
20120112112301,4
20120302120995,2
20030706032063,3
20030605030191,4
20180705180138,2
20111110112238,2
20100403100042,2
20050201051850,3
20170302170644,3
20160302160917,2
20141110140667,3
20121109121426,1
20060112051692,3
20100604102452,1
20180605182437,3
20051109050992,2
20180504181531,3
20170505172213,2
20160402161262,3
20141211141946,1
20090112080885,3
20090807090097,2
20150705150841,2
20160806161329,3
20150112140544,3
20130504130889,3
20050908050036,2
20150707151692,3
20130504130011,3
20140605142301,3
20061009060536,2
20160302161758,2
20160403162331,3
20030604030507,4
20110706111702,1
20050504052399,3
20130402130705,2
20090706092062,3
20140301142031,2
20111211111222,4
20130201131436,3
20110808111216,3
20060908061430,3
20170806171850,3
20170112160641,2
20171110172011,2
20101009101134,3
20150707150570,4
20070807072302,4
20120401120840,1
20140201141788,4
20111008110808,3
20170403172041,3
20100807100818,2
20050807050022,3
20160707161831,2
20141110140585,2
20080112070127,2
20080201082385,2
20091009090662,1
20080909080880,3
20100807100582,3
20090807092491,3
20120605121192,4
20071110072392,2
20171009171750,3
20050112041432,3
20150504151149,3
20110504110996,3
20060503061238,3
20050504050818,2
20060808062097,1
20151211152330,2
20180808180944,3
20131009132462,2
20110807112156,3
20140302141295,2
20080908080606,3
20170605171857,2
20041010041764,3
20180807180693,3
20091009090540,2
20040707041756,3
20030112020983,2
20090807091629,2
20050908052499,3
20061009061935,3
20120112112509,3
20080605080164,1
20120403121028,3
20110302112175,2
20060605061512,3
20080504082450,3
20120505120042,3
20140111131603,3
20160808161235,2
20130302132198,2
20031009032377,2
20110807112369,2
20071009071104,3
20031211031552,3
20110201110541,3
20090807092499,2
20161110160678,3
20070505072691,3
20100404100524,2
20160807161483,3
20031211030575,3
20120302120869,2
20091211091467,2
20180402182121,3
20120807122396,2
20131010131046,1
20060302062560,3
20130908130736,2
20071009071569,1
20031211033528,3
20041009042314,1
20071110070811,3
20130807131254,2
20151009151022,2
20160705162373,4
20111009112322,2
20040908042224,3
20110605111477,2
20161110161380,3
20120605120082,3
20090606092520,2
20080706081102,3
20150303150947,2
20130706130872,3
20060505060564,2
